dataset,encoding,preprocessing,fold,seed,n_qubits,train_accuracy,test_accuracy,f1_macro,convergence_iters,final_loss,generalization_gap,wall_time_seconds,circuit_depth,gate_count,cx_count,svm_rbf_acc,svm_rbf_f1,random_forest_acc,random_forest_f1,logistic_regression_acc,logistic_regression_f1,expressibility,entanglement_mw,kernel_alignment
iris,iqp_full,zscore_sigmoid,2,44,4,0.64,0.4667,0.4583,4,0.904763,0.1733,2.01,,,,0.9,0.899749373433584,0.9333333333333333,0.9326599326599326,0.9,0.899749373433584,0.018029,0.9492,-0.6185
iris,iqp_full,zscore_sigmoid,3,45,4,0.52,0.4,0.402,1,1.28262,0.12,1.91,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.018029,0.9492,-0.6185
iris,iqp_full,zscore_sigmoid,4,46,4,0.3,0.4667,0.4797,6,1.112723,-0.1667,2.1,,,,0.9,0.899749373433584,0.9,0.899749373433584,0.9,0.899749373433584,0.018029,0.9492,-0.6185
iris,iqp_full,pca_minmax,0,42,4,0.46,0.4,0.375,13,1.070837,0.06,2.44,34.0,80.0,18.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9665831244778612,0.018029,0.9269,-0.8697
iris,iqp_full,pca_minmax,1,43,4,0.28,0.4,0.4005,3,1.092519,-0.12,1.92,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.018029,0.9269,-0.8697
iris,iqp_full,pca_minmax,2,44,4,0.5,0.5667,0.5714,2,1.085945,-0.0667,1.91,,,,0.9,0.899749373433584,0.9,0.8976982097186701,0.8666666666666667,0.8653198653198654,0.018029,0.9269,-0.8697
iris,iqp_full,pca_minmax,3,45,4,0.54,0.5333,0.5191,1,1.185235,0.0067,2.01,,,,1.0,1.0,1.0,1.0,0.9666666666666667,0.9665831244778612,0.018029,0.9269,-0.8697
iris,iqp_full,pca_minmax,4,46,4,0.28,0.2667,0.2552,1,1.323826,0.0133,2.18,,,,0.9666666666666667,0.9665831244778613,0.9333333333333333,0.9333333333333332,0.9,0.899749373433584,0.018029,0.9269,-0.8697
iris,reuploading,none,0,42,4,0.08,0.0333,0.0351,6,1.458906,0.0467,1.85,26.0,76.0,12.0,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.564836,0.8906,0.9252
iris,reuploading,none,1,43,4,0.56,0.7,0.7021,14,0.725473,-0.14,2.32,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.564836,0.8906,0.9252
iris,reuploading,none,2,44,4,0.18,0.2333,0.1642,1,1.43978,-0.0533,1.95,,,,0.9333333333333333,0.9326599326599326,0.9333333333333333,0.9326599326599326,0.9333333333333333,0.9326599326599326,0.564836,0.8906,0.9252
iris,reuploading,none,3,45,4,0.9,0.5,0.3918,1,0.933389,0.4,1.91,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.564836,0.8906,0.9252
iris,reuploading,none,4,46,4,0.86,0.6333,0.6134,5,0.914285,0.2267,2.03,,,,0.9333333333333333,0.9333333333333332,0.9,0.899749373433584,0.9333333333333333,0.9333333333333332,0.564836,0.8906,0.9252
iris,reuploading,minmax_pi,0,42,4,0.8,0.5667,0.4676,3,1.277158,0.2333,1.76,26.0,76.0,12.0,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.564836,0.6943,0.341
iris,reuploading,minmax_pi,1,43,4,0.1,0.1,0.125,12,1.143228,0.0,1.84,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.564836,0.6943,0.341
iris,reuploading,minmax_pi,2,44,4,0.82,0.5667,0.4607,9,1.182033,0.2533,2.12,,,,0.9,0.899749373433584,0.9333333333333333,0.9326599326599326,0.9,0.899749373433584,0.564836,0.6943,0.341
iris,reuploading,minmax_pi,3,45,4,0.94,0.6333,0.5299,19,0.677598,0.3067,2.35,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.564836,0.6943,0.341
iris,reuploading,minmax_pi,4,46,4,0.78,0.4,0.2865,1,1.212081,0.38,1.95,,,,0.9,0.899749373433584,0.9,0.899749373433584,0.9,0.899749373433584,0.564836,0.6943,0.341
iris,reuploading,zscore_sigmoid,0,42,4,0.88,0.8667,0.8644,14,0.795511,0.0133,2.27,26.0,76.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.564836,0.4414,0.3697
